feature,importance
pct_paying_minimum_only,0.2663481
credit_mix_encoded,0.10553604
outstanding_debt,0.098770946
max_outstanding_debt,0.08833992
avg_outstanding_debt,0.06604713
interest_rate,0.03420499
credit_limit_changes,0.030257648
avg_credit_limit_change,0.02771577
avg_payment_delay,0.022053849
num_credit_cards,0.016505413
recent_delayed_payments,0.015039443
income_bracket_encoded,0.01292907
num_bank_accounts,0.012435456
recent_inquiries,0.011803499
max_payment_delay,0.011352269
num_credit_inquiries,0.011061793
credit_history_years,0.01019865
payment_reliability_score,0.010026065
total_delayed_payments,0.009712867
avg_delayed_payments,0.007905256
account_diversity,0.007859171
emi_to_income,0.0066884197
total_emi,0.006460126
dti_ratio,0.006425332
annual_income,0.006107258
payment_behavior_trend,0.0058553247
financial_health_score,0.005845708
monthly_balance,0.005829934
monthly_income,0.0057103042
financial_stability_score,0.0057084556
num_loans,0.005670044
avg_investment,0.0054368563
avg_credit_utilization,0.0054346034
age,0.0054003946
avg_emi,0.0053832354
income_trend,0.0053530014
income_volatility,0.005328327
occupation_encoded,0.0053150686
amount_invested,0.005247688
credit_card_changes,0.005238959
credit_utilization,0.0052080494
savings_rate,0.0051976717
payment_delay_volatility,0.005051858
bank_account_changes,0.0
late_payment_frequency,0.0
debt_trend,0.0
high_debt_flag,0.0
months_in_data,0.0
high_utilization_flag,0.0
frequent_late_payments,0.0
declining_payment_behavior,0.0
age_group_encoded,0.0
debt_burden_encoded,0.0
